2020-02-17 07:39:44.185906,newspicks, オフィス設置用「テレキューブ」のサブスクモデルにグループ用が追加  CNET Japan   ,/news/4640911?ref=index
2020-02-17 07:39:44.185946,newspicks, 米中「第１段階」合意発効＝初の関税下げ―摩擦緩和も火種残る  時事通信社   ,/news/4634893?ref=index
2020-02-17 07:39:44.185962,newspicks, 新型肺炎、死者１６００人超＝感染者６万８５００人―中国  時事通信社   ,/news/4638710?ref=index
2020-02-17 07:39:44.185974,newspicks, 仏で新型肺炎の死者＝中国人旅行者、アジア外で初  時事通信社   ,/news/4638003?ref=index
2020-02-17 07:39:44.185985,newspicks, 台湾で初の死者＝新型肺炎、持病ある６０代男性  時事通信社   ,/news/4640145?ref=index
2020-02-17 07:39:44.185996,newspicks, 仏ルノー、１９年通期決算は１０年ぶり赤字＝日産不振影響、新型肺炎に懸念  時事通信社   ,/news/4636017?ref=index
2020-02-17 07:39:44.186007,newspicks, トヨタ、中国工場の稼働再開＝１７日以降、本格復帰には時間  時事通信社   ,/news/4638463?ref=index
2020-02-17 07:39:44.186018,newspicks, 米国人女性の感染確認＝カンボジア下船客で初  時事通信社   ,/news/4638821?ref=index
2020-02-17 07:39:44.791630,Yahoo,客船米国人40人感染 帰国せず,https://news.yahoo.co.jp/pickup/6351400
2020-02-17 07:39:44.791680,Yahoo,政府「感染拡大」前提に対策,https://news.yahoo.co.jp/pickup/6351397
2020-02-17 07:39:44.791714,Yahoo,西日本 昼過ぎから大雪可能性,https://news.yahoo.co.jp/pickup/6351407
2020-02-17 07:39:44.791746,Yahoo,共産系と講師依頼撤回 区謝罪,https://news.yahoo.co.jp/pickup/6351408
2020-02-17 07:39:44.791777,Yahoo,英、BBC受信料の廃止検討か,https://news.yahoo.co.jp/pickup/6351403
2020-02-17 07:39:44.791808,Yahoo,東京マラソン 一般参加縮小か,https://news.yahoo.co.jp/pickup/6351401
2020-02-17 07:39:44.791843,Yahoo,岡田健史が刑事役 憧れた職業,https://news.yahoo.co.jp/pickup/6351406
2020-02-17 07:39:44.791874,Yahoo,伝説のデュオ 亀と山Pが復活,https://news.yahoo.co.jp/pickup/6351402
2020-02-17 07:39:44.949813,yomiuri,チャーター機第５便、羽田に到着…６５人搭乗,https://www.yomiuri.co.jp/politics/20200217-OYT1T50079/
2020-02-17 07:39:44.949906,yomiuri,ＪＲ中央線快速、運転見合わせ…国分寺駅で人身事故,https://www.yomiuri.co.jp/national/20200217-OYT1T50078/
2020-02-17 07:39:44.949940,yomiuri,スケート世界選手権、１５００メートルで高木美帆４位,https://www.yomiuri.co.jp/sports/winter/20200217-OYT1T50080/
2020-02-17 07:39:44.949972,yomiuri,元クルーズ船の１９人重症、集中治療室に…６０～８０歳代男女,https://www.yomiuri.co.jp/national/20200216-OYT1T50145/
2020-02-17 07:39:44.950001,yomiuri,西日本、平地でも警報級の大雪の可能性…東日本も夜から,https://www.yomiuri.co.jp/national/20200217-OYT1T50077/
2020-02-17 07:39:44.950031,yomiuri,菊之助さん主演、「ナウシカ歌舞伎」の舞台映像上映中…伝統的演出も駆使,https://www.yomiuri.co.jp/culture/tsumugu/20200216-OYT1T50156/
2020-02-17 07:39:44.950060,yomiuri,［スキャナー］新型肺炎専門家会議、沈静化へ議論…「高齢」「持病」に重点,https://www.yomiuri.co.jp/medical/20200216-OYT1T50148/
2020-02-17 07:39:44.950089,yomiuri,新型肺炎　天津　百貨店で集団感染　客ら４０人以上…２万人自宅待機,https://www.yomiuri.co.jp/world/20200217-OYT1T50030/
2020-02-17 07:39:44.950119,yomiuri,スルメイカ不漁で高騰…海水温変化　成育不良,https://www.yomiuri.co.jp/economy/20200216-OYT1T50169/
2020-02-18 07:23:46.544001,newspicks, 円相場、１０９円８６～８６銭＝１７日午後５時現在  時事通信社   ,/news/4642727?ref=index
2020-02-18 07:23:46.544058,newspicks, 韓国、大統領機で乗客ら移送へ＝クルーズ船、１８日にも―新型肺炎  時事通信社   ,/news/4643528?ref=index
2020-02-18 07:23:46.544084,newspicks, シャープが５Ｇスマホ＝国内初、中韓メーカーに対抗  時事通信社   ,/news/4642725?ref=index
2020-02-18 07:23:46.544098,newspicks, 積水ハウスで内紛再発＝前会長、社長退任を株主提案  時事通信社   ,/news/4642726?ref=index
2020-02-18 07:23:46.544110,newspicks, 「人戻らない」「終わり見えぬ」＝新型肺炎、相談会に７０社超―東京商工会議所  時事通信社   ,/news/4642724?ref=index
2020-02-18 07:23:46.544122,newspicks, ＮＥＣもテレワーク奨励＝新型肺炎対策、６万人対象  時事通信社   ,/news/4643076?ref=index
2020-02-18 07:23:46.544134,newspicks, トヨタ、中国生産再開＝本格稼働になお時間―新型肺炎  時事通信社   ,/news/4643073?ref=index
2020-02-18 07:23:46.544146,newspicks, チャーター機が米到着＝クルーズ船から３２８人退避―新型肺炎  時事通信社   ,/news/4642722?ref=index
2020-02-18 07:23:47.284625,Yahoo,西・東日本の日本海側 大雪に,https://news.yahoo.co.jp/pickup/6351503
2020-02-18 07:23:47.284754,Yahoo,破産ケフィア元代表ら逮捕へ,https://news.yahoo.co.jp/pickup/6351505
2020-02-18 07:23:47.284805,Yahoo,競艇不正 3年半で利益3億円超か,https://news.yahoo.co.jp/pickup/6351504
2020-02-18 07:23:47.284842,Yahoo,静岡で外国人夫妻刺す 男逃走,https://news.yahoo.co.jp/pickup/6351502
2020-02-18 07:23:47.284876,Yahoo,1歳暴行死 母の交際相手逮捕,https://news.yahoo.co.jp/pickup/6351487
